Mother Tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
      Creoles,61725,1395,1775,2310,2680,3425,4020,5700,6695,6780,6135,5075,4505,3990,2695,1700,1055,845,560,285,85,15
      Non-verbal languages,6435,535,485,545,650,565,520,425,400,420,430,415,380,225,190,105,80,40,10,10,5,0
        American Sign Language,2160,130,160,185,245,205,175,135,135,140,165,145,140,80,60,30,15,15,5,0,5,0
        Quebec Sign Language,455,30,20,30,35,35,25,40,30,25,30,40,35,20,25,15,5,5,0,0,0,0
"        Sign languages, n.i.e.",3815,375,300,330,380,320,315,250,235,250,235,230,205,125,105,65,55,25,5,5,0,0
      Other languages,2465,150,140,125,205,230,235,220,230,195,155,185,145,65,50,35,35,40,15,10,0,0
  Multiple responses,639540,60415,50560,49580,49455,46410,48155,48525,46775,46060,42980,37315,28730,24315,18115,14905,12245,8695,4605,1365,305,30
    English and French,144685,14915,11380,11905,12075,11650,11440,9825,8240,7845,8425,7720,6565,6200,5220,4000,3270,2395,1175,355,75,5
    English and non-official language,396330,35250,30925,30095,30170,28235,29950,31185,30515,30380,28025,24225,17925,14640,10130,8705,7220,5005,2735,820,185,15
    French and non-official language,74430,7755,5875,4820,4645,4430,4840,5710,6510,6470,5315,4325,3425,2860,2270,1820,1485,1085,580,155,45,5
"    English, French and non-official language",24095,2500,2385,2755,2565,2095,1920,1805,1505,1365,1215,1040,820,615,495,380,270,210,120,35,5,0
