Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",31800,460,425,535,1015,1525,1800,1940,2020,2155,2680,3260,3190,3150,2775,1765,1380,865,525,230,75,15
            Wu (Shanghainese),12915,270,215,235,400,620,740,780,640,910,1185,1180,960,885,1075,910,695,550,385,210,50,5
"            Chinese, n.o.s.",38580,815,710,710,2380,4070,2610,1890,1665,2050,2535,3035,2820,2885,2910,2105,2170,1800,905,380,120,25
"            Chinese languages, n.i.e.",615,15,15,15,25,60,55,65,35,65,80,70,30,20,10,15,25,10,0,0,0,0
          Tibeto-Burman languages,15850,905,780,900,1080,1345,1475,1525,1550,1440,1400,1025,790,540,395,275,195,135,70,15,10,5
            Burmese,3585,130,115,125,150,215,225,280,320,345,430,345,285,220,155,95,65,50,30,10,0,0
            Karenic languages,4705,370,380,490,545,505,505,445,330,250,235,165,155,105,80,70,45,15,15,5,5,0
            Tibetan,6160,300,205,230,320,545,615,600,710,715,610,425,285,180,130,105,75,65,25,5,5,5
"            Tibeto-Burman languages, n.i.e.",1405,110,80,50,75,80,130,200,190,130,125,85,65,40,20,5,5,5,5,5,0,0
        Tai-Kadai languages,22010,285,345,410,750,1050,1365,2005,2495,2480,2610,2545,2375,1480,825,455,260,165,60,40,10,0
          Lao,12670,130,155,175,235,430,655,935,1275,1250,1515,1730,1750,1115,600,330,180,125,45,30,10,0
          Thai,9255,155,190,235,515,615,700,1065,1220,1225,1085,805,620,365,215,120,70,45,15,5,5,0
"          Tai-Kadai languages, n.i.e",85,0,0,0,0,5,5,5,5,10,10,10,5,5,5,5,10,0,0,0,0,0
        Turkic languages,40140,2110,2140,1930,2290,2605,2880,3915,4075,3770,3490,3390,2495,1755,1200,800,600,390,205,85,15,0
          Azerbaijani,3255,90,85,80,125,190,210,320,290,290,325,335,280,220,135,100,80,55,30,5,5,0
          Turkish,32815,1740,1785,1585,1855,2060,2325,3170,3370,3085,2865,2770,2030,1430,1010,680,490,315,165,75,10,0
          Uyghur,1035,105,90,45,70,105,100,85,80,120,85,85,35,15,5,5,10,5,0,0,0,0
          Uzbek,1720,120,115,150,150,140,140,225,220,140,100,75,55,35,25,5,10,5,5,5,0,0
"          Turkic languages, n.i.e.",1315,60,70,70,90,110,115,115,120,130,110,125,90,55,20,15,10,10,5,5,0,0
        Uralic languages,81980,1135,1305,1375,1540,1710,2100,2715,4085,4770,5455,5820,7490,7870,8025,6995,7590,6170,3795,1690,305,35
          Estonian,5445,45,25,45,65,95,145,165,120,160,225,315,595,735,600,665,475,320,315,270,65,0
          Finnish,15295,140,130,125,150,205,235,375,475,620,855,1225,1375,1605,2020,1850,1565,1265,790,225,45,5
          Hungarian,61235,950,1145,1205,1320,1405,1715,2175,3485,3990,4375,4285,5520,5530,5400,4475,5545,4585,2690,1195,195,30
"          Uralic languages, n.i.e.",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Other languages, n.i.e.",3685,85,85,95,165,250,350,405,405,410,360,320,255,190,125,90,45,30,15,5,0,0
  Multiple responses,818635,76440,72405,65915,61950,63450,62320,62690,60740,55635,50720,45895,38230,29510,24565,17720,13350,9335,5235,2080,405,50
    English and French,165320,16835,15410,14145,13105,14015,13260,11490,9780,8245,7610,8280,7585,6455,5975,4855,3660,2500,1400,585,110,15
    English and non-official language,533265,46600,44635,41285,40015,41090,40945,42595,41625,38630,34970,31245,25845,19045,15425,10490,8125,5835,3285,1290,255,35
    French and non-official language,86150,9150,8510,6405,5395,5340,5475,6365,7220,6965,6475,4935,3765,3170,2500,1835,1220,785,430,175,35,0
"    English, French and non-official language",33900,3860,3845,4075,3430,3005,2650,2235,2115,1795,1660,1425,1035,835,665,540,345,215,120,30,5,0
